mass,CaPhi,acceptance,cross_section_pb,BR_h_to_Za,Gamma_total_alp_GeV,N_signal
0.1,0.000794,0.0,1.0006421812458547e-08,1.832342393784755e-10,2.39704826016841e-19,0.0
0.1,0.001,0.0,1.5872224637209377e-08,2.9064685290623286e-10,3.8022071394533476e-19,0.0
0.1,0.00126,0.0,2.5198743829730063e-08,4.6143094359513025e-10,6.036384054596134e-19,0.0
0.1,0.00158,0.0,3.96234215670963e-08,7.255708032795515e-10,9.491829902931335e-19,0.0
0.1,0.002,0.0,6.348889849347897e-08,1.1625874106112245e-09,1.520882855781339e-18,0.0
0.1,0.00251,1.8215966825103507e-07,9.999660228284233e-08,1.8311042351738204e-09,2.3954285199270035e-18,2.185841747768791e-08
0.1,0.00316,5.996196835625322e-05,1.5849368592339007e-07,2.9022832068007703e-09,3.796731961172534e-18,1.1404312056005102e-05
0.1,0.00398,2.732395023765526e-07,2.5142238605878735e-07,4.603962388917549e-09,6.022848197179681e-18,8.243823318363427e-08
0.1,0.00501,9.107983412551754e-08,3.983944228258181e-07,7.295265021531187e-09,9.543577942099296e-18,4.3542837537008174e-08
0.1,0.00631,5.316619021171426e-05,6.319700762478466e-07,1.1572424029442348e-08,1.513890596851884e-17,4.03193295382855e-05
0.1,0.00794,0.00011294599889971641,1.0006421630940157e-06,1.8323423605457166e-08,2.39704826016841e-17,0.00013562223438219186
0.1,0.01,0.0001470079709060539,1.5872224180501393e-06,2.9064684454314947e-08,3.8022071394533477e-17,0.0002800012164649817
0.1,0.0126,0.0002797037454005086,2.5198742678609583e-06,4.614309225161982e-08,6.036384054596136e-17,0.0008457819247908894
0.1,0.0158,0.000313037078733842,3.962341872088633e-06,7.255707511607092e-08,9.491829902931338e-17,0.0014884319095000902
0.1,0.02,0.00042725819531131564,6.3488891186151806e-06,1.1625872768019009e-07,1.520882855781339e-16,0.0032551378884614064
0.1,0.0251,0.0005214642953421574,9.999658415552956e-06,1.8311039032325503e-07,2.3954285199270034e-16,0.006257357795194317
0.1,0.0316,0.0008964830958839796,1.5849364038404036e-05,2.9022823728994757e-07,3.7967319611725352e-16,0.0170504243291288
0.1,0.0398,0.0015672722313036138,2.514222714624579e-05,4.6039602904680076e-07,6.022848197179681e-16,0.04728565732732672
0.1,0.0501,0.0021178643099424945,3.9839413509312914e-05,7.295259752666712e-07,9.543577942099298e-16,0.10124936640049763
0.1,0.0631,0.0027596008642326946,6.319693522195321e-05,1.1572410771278742e-06,1.5138905968518842e-15,0.20927798046643165
0.1,0.0794,0.0033284694440193384,0.0001000640347913476,1.8323390366480058e-06,2.397048260168411e-15,0.3996720986979462
0.1,0.1,0.0031793427607110796,0.00015872178509835253,2.9064600823723225e-06,3.8022071394533474e-15,0.6055571501035042
0.1,0.126,0.002802122047049279,0.0002519862756709254,4.6142881463271445e-06,6.036384054596135e-15,0.8473155583336051
0.1,0.158,0.0019363821758248334,0.0003962313410195331,7.255655393142888e-06,9.491829902931336e-15,0.9207063675040742
0.1,0.2,0.001056809383576735,0.0006348816046192876,1.1625738960250642e-05,1.520882855781339e-14,0.8051386046663013
0.1,0.251,0.0006123004415103549,0.0009999477145744803,1.8310707097133862e-05,2.395428519927003e-14,0.7347221125454696
0.1,0.316,0.00010045539917062761,0.001584890865812258,2.9021989851899983e-05,3.796731961172534e-14,0.1910530134804624
0.1,0.398,9.107983412551754e-08,0.0025141081235703073,4.6037504551736085e-05,6.022848197179682e-14,0.0002747814610420797
0.1,0.501,0.0,0.00398365363922947,7.294732904650192e-05,9.543577942099294e-14,0.0
0.1,0.631,0.0,0.006318969577650445,0.0001157108510831431,1.5138905968518842e-13,0.0
0.1,0.794,0.0,0.010004588631103616,0.00018320067077648078,2.397048260168411e-13,0.0
0.1,1.0,0.0,0.015867612770106482,0.0002905624019429863,3.802207139453347e-13,0.0
0.178,3.16e-08,0.0,1.5848908647059224e-17,2.9021989831641135e-19,6.778213642225725e-28,0.0
0.178,3.98e-08,0.0,2.5141509026285546e-17,4.603828790749963e-19,1.075244505871579e-27,0.0
0.178,5.01e-08,0.0,3.983828632551387e-17,7.29505334655079e-19,1.7037918626945794e-27,0.0
0.178,6.31e-08,0.0,6.319517420907853e-17,1.1572088300508795e-18,2.7027122276099957e-27,0.0
0.178,7.94e-08,0.0,1.0006131401034916e-16,1.832289214619102e-18,4.2793922205478066e-27,0.0
0.178,1e-07,0.0,1.5871763987200788e-16,2.906384176378097e-18,6.787988345443163e-27,0.0
0.178,1.26e-07,0.0,2.5198012506079976e-16,4.614175518417868e-18,1.0776610297225566e-26,0.0
0.178,1.58e-07,0.0,3.962227161764806e-16,7.255497457910283e-18,1.6945534105564318e-26,0.0
0.178,2e-07,0.0,6.348705594880315e-16,1.1625536705512388e-17,2.7151953381772654e-26,0.0
0.178,2.51e-07,0.0,9.999370029576373e-16,1.831051094959966e-17,4.276500537512648e-26,0.0
0.178,3.16e-07,0.0,1.5848908647059224e-15,2.9021989831641133e-17,6.778213642225727e-26,0.0
0.178,3.98e-07,0.0,2.5141509026285534e-15,4.603828790749961e-17,1.075244505871579e-25,0.0
0.178,5.01e-07,0.0,3.983828632551388e-15,7.295053346550792e-17,1.7037918626945804e-25,0.0
0.178,6.31e-07,0.0,6.319517420907852e-15,1.1572088300508794e-16,2.7027122276099954e-25,0.0
0.178,7.94e-07,0.0,1.0006131401034918e-14,1.8322892146191024e-16,4.279392220547808e-25,0.0
0.178,1e-06,0.0,1.5871763987200783e-14,2.9063841763780963e-16,6.787988345443164e-25,0.0
0.178,1.26e-06,0.0,2.519801250607997e-14,4.614175518417866e-16,1.0776610297225568e-24,0.0
0.178,1.58e-06,0.0,3.962227161764801e-14,7.255497457910275e-16,1.694553410556431e-24,0.0
0.178,2e-06,0.0,6.348705594880308e-14,1.1625536705512375e-15,2.7151953381772656e-24,0.0
0.178,2.51e-06,0.0,9.99937002957635e-14,1.8310510949599616e-15,4.276500537512649e-24,0.0
0.178,3.16e-06,0.0,1.5848908647059164e-13,2.902198983164103e-15,6.778213642225724e-24,0.0
0.178,3.98e-06,0.0,2.514150902628543e-13,4.603828790749941e-15,1.075244505871579e-23,0.0
0.178,5.01e-06,0.0,3.983828632551357e-13,7.295053346550736e-15,1.7037918626945798e-23,0.0
0.178,6.31e-06,0.0,6.319517420907778e-13,1.1572088300508658e-14,2.7027122276099954e-23,0.0
0.178,7.94e-06,0.0,1.0006131401034737e-12,1.8322892146190694e-14,4.279392220547807e-23,0.0
0.178,1e-05,0.0,1.5871763987200334e-12,2.906384176378014e-14,6.787988345443164e-23,0.0
0.178,1.26e-05,0.0,2.5198012506078818e-12,4.6141755184176554e-14,1.0776610297225568e-22,0.0
0.178,1.58e-05,0.0,3.962227161764518e-12,7.255497457909757e-14,1.6945534105564321e-22,0.0
0.178,2e-05,0.0,6.3487055948795785e-12,1.1625536705511039e-13,2.7151953381772657e-22,0.0
0.178,2.51e-05,0.0,9.999370029574538e-12,1.83105109495963e-13,4.276500537512648e-22,0.0
0.178,3.16e-05,0.0,1.584890864705462e-11,2.9021989831632707e-13,6.778213642225729e-22,0.0
0.178,3.98e-05,0.0,2.5141509026273972e-11,4.603828790747843e-13,1.0752445058715789e-21,0.0
0.178,5.01e-05,0.0,3.98382863254848e-11,7.295053346545468e-13,1.7037918626945795e-21,0.0
0.178,6.31e-05,0.0,6.31951742090054e-11,1.1572088300495404e-12,2.7027122276099954e-21,0.0
