filename,filepath,scan,run,mass,CaPhi,generated_events_index,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status,acceptance,cross_section_pb,N_signal
ALP_W-_sampledfs_Scan_3_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_3_Run_1.pkl.gz,3,1,0.178,1.0,1,2000,0.54724348,2000,0.54724348,2000,0.54724348,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,0.0002736218,0.0
ALP_W-_sampledfs_Scan_3_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_3_Run_2.pkl.gz,3,2,0.178,0.316,1,2000,0.054922544,2000,0.054922544,1975,0.0542360122,14,0.000384457808,1,2.7461272e-05,1,2.7461272e-05,1,2.7461272e-05,1,2.7461272e-05,1,2.7461272e-05,1,2.7461272e-05,1,2.7461272e-05,1,success,0.0005,2.746127e-05,0.0205959525
ALP_W-_sampledfs_Scan_3_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_3_Run_3.pkl.gz,3,3,0.178,0.1,1,2000,0.0054827984,2000,0.0054827984,1609,0.0044109113128,106,0.0002905883152,19,5.208658480000001e-05,7,1.9189794400000004e-05,7,1.9189794400000004e-05,7,1.9189794400000004e-05,7,1.9189794400000004e-05,7,1.9189794400000004e-05,7,1.9189794400000004e-05,7,success,0.0035,2.741399e-06,0.014392344750000001
ALP_W-_sampledfs_Scan_3_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_3_Run_4.pkl.gz,3,4,0.178,0.0316,1,2000,0.0005465033199999,2000,0.0005465033199999,646,0.00017652057236,135,3.6888974100000006e-05,24,6.558039839999999e-06,11,3.00576826e-06,3,8.197549799999999e-07,3,8.197549799999999e-07,3,8.197549799999999e-07,3,8.197549799999999e-07,3,8.197549799999999e-07,3,success,0.0015,2.732517e-07,0.000614816325
ALP_W-_sampledfs_Scan_3_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_3_Run_5.pkl.gz,3,5,0.178,0.01,1,2000,5.510433999999998e-05,2000,5.510433999999998e-05,124,3.416469079999998e-06,43,1.1847433100000005e-06,6,1.6531302e-07,1,2.755217e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.755217e-08,0.0
ALP_W-_sampledfs_Scan_3_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_3_Run_6.pkl.gz,3,6,0.178,0.00316,1,2000,5.4241206000000005e-06,2000,5.4241206000000005e-06,12,3.25447236e-08,1,2.7120603e-09,1,2.7120603e-09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.71206e-09,0.0
ALP_W-_sampledfs_Scan_3_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_3_Run_7.pkl.gz,3,7,0.178,0.001,1,2000,5.4720202e-07,2000,5.4720202e-07,1,2.7360101000000007e-10,1,2.7360101000000007e-10,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.73601e-10,0.0
ALP_W-_sampledfs_Scan_3_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_3_Run_8.pkl.gz,3,8,0.178,0.000316,1,2000,5.4386388000000006e-08,2000,5.4386388000000006e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.719319e-11,0.0
ALP_W-_sampledfs_Scan_3_Run_9.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_3_Run_9.pkl.gz,3,9,0.178,0.0001,1,2000,5.478122800000001e-09,2000,5.478122800000001e-09,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.739062e-12,0.0
ALP_W-_sampledfs_Scan_4_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W-_Runs_2/Generated_Events_1/ALP_W-_sampledfs_Scan_4_Run_1.pkl.gz,4,1,0.316,0.316,1,2000,0.055308434,2000,0.055308434,2000,0.055308434,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.765422e-05,0.0
