mass,CaPhi,N_signal_h,N_signal_p,N_signal
0.178,0.00126,0.0,3.9068349414354384e-12,3.9068349414354384e-12
0.178,0.00158,8.635809506864139e-09,6.069277927442369e-12,8.641878784791581e-09
0.178,0.002,5.166631836946628e-07,3.758405768674066e-11,5.167007677523495e-07
0.178,0.00251,3.999748004506806e-06,5.998435982136496e-11,3.999807988866627e-06
0.178,0.00316,3.8693939085946935e-06,4.2617132071407775e-10,3.8698200799154074e-06
0.178,0.00398,1.369919447824896e-07,6.424791998238772e-10,1.3763442398231345e-07
0.178,0.00501,2.894702636445102e-05,5.328553042095641e-10,2.894755921975523e-05
0.178,0.00631,7.675260589122009e-05,1.238962514432322e-09,7.675384485373453e-05
0.178,0.00794,0.0003284117219819,2.249256213610278e-09,0.00032841397123811364
0.178,0.01,0.0006014258620466,7.593199367214544e-09,0.0006014334552459672
0.178,0.0126,0.0016546916851805,2.9946145767759364e-08,0.0016547216313262678
0.178,0.0158,0.0028011222515064,4.961638396286757e-08,0.0028011718678903627
0.178,0.02,0.0084086567103694,1.3402743910913817e-07,0.008408790737808508
0.178,0.0251,0.0196470666418659,2.39009223171377e-07,0.01964730565108907
0.178,0.0316,0.0446279598829185,7.09731441763988e-07,0.04462866961436026
0.178,0.0398,0.0982340215581235,1.226922366867733e-06,0.09823524848049037
0.178,0.0501,0.1761942924114047,2.3464523299377736e-06,0.17619663886373463
0.178,0.0631,0.2872006672514257,3.77506071223228e-06,0.28720444231213793
0.178,0.0794,0.314313628588462,6.048523792426974e-06,0.31431967711225445
0.178,0.1,0.2769086842021396,8.663640532973738e-06,0.2769173478426726
0.178,0.126,0.1540435555093053,1.271600375457605e-05,0.15405627151305987
0.178,0.158,0.1392274648020843,1.5254484721651907e-05,0.13924271928680595
0.178,0.2,0.0001383705995573,1.3479997635691456e-05,0.00015185059719299146
0.178,0.251,0.0001089678483451,9.2986155829127e-06,0.00011826646392801269
0.178,0.316,0.0,4.017730458194535e-06,4.017730458194535e-06
0.178,0.398,0.0,1.913539657965997e-06,1.913539657965997e-06
0.178,0.501,0.0,5.998574157468586e-07,5.998574157468586e-07
0.178,0.631,0.0,0.0,0.0
0.178,0.794,0.0,0.0,0.0
0.178,1.0,0.0,0.0,0.0
0.316,3.16e-08,0.0,0.0,0.0
0.316,3.98e-08,0.0,0.0,0.0
0.316,5.01e-08,0.0,0.0,0.0
0.316,6.31e-08,0.0,0.0,0.0
0.316,7.94e-08,0.0,0.0,0.0
0.316,1e-07,0.0,0.0,0.0
0.316,1.26e-07,0.0,0.0,0.0
0.316,1.58e-07,0.0,0.0,0.0
0.316,2e-07,0.0,0.0,0.0
0.316,2.51e-07,0.0,0.0,0.0
0.316,3.16e-07,0.0,0.0,0.0
0.316,3.98e-07,0.0,0.0,0.0
0.316,5.01e-07,0.0,0.0,0.0
0.316,6.31e-07,0.0,0.0,0.0
0.316,7.94e-07,0.0,0.0,0.0
0.316,1e-06,0.0,0.0,0.0
0.316,1.26e-06,0.0,0.0,0.0
0.316,1.58e-06,0.0,0.0,0.0
0.316,2e-06,0.0,0.0,0.0
0.316,2.51e-06,0.0,0.0,0.0
0.316,3.16e-06,0.0,0.0,0.0
0.316,3.98e-06,0.0,0.0,0.0
0.316,5.01e-06,0.0,0.0,0.0
0.316,6.31e-06,0.0,0.0,0.0
0.316,7.94e-06,0.0,5.822878763790032e-19,5.822878763790032e-19
0.316,1e-05,0.0,0.0,0.0
0.316,1.26e-05,0.0,0.0,0.0
0.316,1.58e-05,4.1196419060268016e-11,0.0,4.1196419060268016e-11
0.316,2e-05,0.0,0.0,0.0
0.316,2.51e-05,0.0,0.0,0.0
0.316,3.16e-05,4.67208327493842e-10,9.421405923392352e-18,4.672083369152479e-10
0.316,3.98e-05,2.638021886225726e-10,0.0,2.638021886225726e-10
0.316,5.01e-05,1.588611882042801e-09,2.3532551114015054e-17,1.5886119055753522e-09
0.316,6.31e-05,1.3156815863334146e-09,3.703827227918804e-17,1.315681623371687e-09
0.316,7.94e-05,4.0116338639728024e-09,2.825320306385329e-16,4.011634146504833e-09
0.316,0.0001,1.1049845423211653e-08,2.794585303905678e-16,1.1049845702670182e-08
0.316,0.000126,2.2716416438907532e-08,1.1470831393683497e-15,2.271641758599067e-08
0.316,0.000158,8.805053810151858e-08,2.253362302940293e-15,8.805054035488089e-08
0.316,0.0002,1.3341233268500652e-07,1.0572728961990408e-14,1.3341234325773548e-07
