C_Zh,mass,CaPhi,BR_mu,acceptance,cross_section_pb,BR_h_to_Za,N_signal
0.0010473708979594498,1.0,0.00501,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.0010473708979594498,1.0,0.00631,0.01,0.0,5.848099569595742e-05,1.07088437458263e-06,0.0
0.001096985797892384,1.0,3.16e-07,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,3.98e-07,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,5.01e-07,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,6.31e-07,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,7.94e-07,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,1e-06,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,1.26e-06,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
0.001096985797892384,1.0,1.58e-06,0.01,6.666666666666667e-05,6.415281506212264e-05,1.1747448280923392e-06,5.132225204969812e-05
0.001096985797892384,1.0,2e-06,0.01,3.3333333333333335e-05,6.415281506212264e-05,1.1747448280923392e-06,2.566112602484906e-05
0.001096985797892384,1.0,3.16e-06,0.01,6.666666666666667e-05,6.415281506212264e-05,1.1747448280923392e-06,5.132225204969812e-05
0.001096985797892384,1.0,3.98e-06,0.01,0.0001,6.415281506212264e-05,1.1747448280923392e-06,7.698337807454718e-05
0.001096985797892384,1.0,5.01e-06,0.01,0.00023333333333333333,6.415281506212264e-05,1.1747448280923392e-06,0.0001796278821739434
0.001096985797892384,1.0,6.31e-06,0.01,0.00016666666666666666,6.415281506212264e-05,1.1747448280923392e-06,0.0001283056301242453
0.001096985797892384,1.0,7.94e-06,0.01,0.0004,6.415281506212264e-05,1.1747448280923392e-06,0.0003079335122981887
0.001096985797892384,1.0,1e-05,0.01,0.00036666666666666667,6.415281506212264e-05,1.1747448280923392e-06,0.0002822723862733396
0.001096985797892384,1.0,1.26e-05,0.01,0.0006,6.415281506212264e-05,1.1747448280923392e-06,0.00046190026844728296
0.001096985797892384,1.0,1.58e-05,0.01,0.0010666666666666667,6.415281506212264e-05,1.1747448280923392e-06,0.0008211560327951699
0.001096985797892384,1.0,2e-05,0.01,0.0016666666666666668,6.415281506212264e-05,1.1747448280923392e-06,0.001283056301242453
0.001096985797892384,1.0,2.51e-05,0.01,0.0019333333333333333,6.415281506212264e-05,1.1747448280923392e-06,0.0014883453094412455
0.001096985797892384,1.0,3.16e-05,0.01,0.0019666666666666665,6.415281506212264e-05,1.1747448280923392e-06,0.0015140064354660942
0.001096985797892384,1.0,3.98e-05,0.01,0.0016,6.415281506212264e-05,1.1747448280923392e-06,0.0012317340491927549
0.001096985797892384,1.0,5.01e-05,0.01,0.0011333333333333334,6.415281506212264e-05,1.1747448280923392e-06,0.0008724782848448681
0.001096985797892384,1.0,6.31e-05,0.01,0.00046666666666666666,6.415281506212264e-05,1.1747448280923392e-06,0.0003592557643478868
0.001096985797892384,1.0,7.94e-05,0.01,0.00016666666666666666,6.415281506212264e-05,1.1747448280923392e-06,0.0001283056301242453
0.001096985797892384,1.0,0.0001,0.01,3.3333333333333335e-05,6.415281506212264e-05,1.1747448280923392e-06,2.566112602484906e-05
0.001096985797892384,1.0,0.000126,0.01,6.666666666666667e-05,6.415281506212264e-05,1.1747448280923392e-06,5.132225204969812e-05
0.001096985797892384,1.0,0.000158,0.01,0.0,6.415281506212264e-05,1.1747448280923392e-06,0.0
