filename,filepath,scan,run,mass,CaPhi,generated_events_index,nLLP_original,nLLP_original_weighted,nLLP_LLPdecay,nLLP_LLPdecay_weighted,nLLP_InCavern,nLLP_InCavern_weighted,nLLP_NotInATLAS,nLLP_NotInATLAS_weighted,nLLP_Geometry,nLLP_Geometry_weighted,nLLP_Tracker,nLLP_Tracker_weighted,nLLP_MET,nLLP_MET_weighted,nLLP_IsoJet,nLLP_IsoJet_weighted,nLLP_IsoCharged,nLLP_IsoCharged_weighted,nLLP_IsoAll,nLLP_IsoAll_weighted,nLLP_Final,nLLP_Final_weighted,n_surviving_llps,status,acceptance,cross_section_pb,N_signal
ALP_W+_sampledfs_Scan_4_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_4_Run_5.pkl.gz,4,5,0.316,0.00316,1,2000,5.072945600000003e-06,2000,5.072945600000003e-06,1615,4.096403572000001e-06,88,2.232096064000001e-07,19,4.8192983200000015e-08,9,2.282825520000001e-08,9,2.282825520000001e-08,9,2.282825520000001e-08,9,2.282825520000001e-08,9,2.282825520000001e-08,9,2.282825520000001e-08,9,success,0.0045,2.536473e-09,1.712119275e-05
ALP_W+_sampledfs_Scan_4_Run_6.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_4_Run_6.pkl.gz,4,6,0.316,0.001,1,2000,5.0749188e-07,2000,5.0749188e-07,670,1.700097798e-07,120,3.04495128e-08,27,6.851140379999998e-09,16,4.05993504e-09,6,1.52247564e-09,6,1.52247564e-09,6,1.52247564e-09,6,1.52247564e-09,6,1.52247564e-09,6,success,0.003,2.537459e-10,1.14185655e-06
ALP_W+_sampledfs_Scan_4_Run_7.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_4_Run_7.pkl.gz,4,7,0.316,0.000316,1,2000,5.0617740000000027e-08,2000,5.0617740000000027e-08,127,3.2142264900000003e-09,41,1.03766367e-09,15,3.7963305000000016e-10,12,3.037064400000001e-10,2,5.061774000000001e-11,2,5.061774000000001e-11,2,5.061774000000001e-11,2,5.061774000000001e-11,2,5.061774000000001e-11,2,success,0.001,2.530887e-11,3.7963305e-08
ALP_W+_sampledfs_Scan_4_Run_8.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_4_Run_8.pkl.gz,4,8,0.316,0.0001,1,2000,5.1173220000000005e-09,2000,5.1173220000000005e-09,10,2.5586610000000003e-11,2,5.117322e-12,1,2.558661e-12,1,2.558661e-12,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.558661e-12,0.0
ALP_W+_sampledfs_Scan_4_Run_9.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_4_Run_9.pkl.gz,4,9,0.316,3.16e-05,1,2000,5.039785599999997e-10,2000,5.039785599999997e-10,1,2.5198928e-13,1,2.5198928e-13,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.519893e-13,0.0
ALP_W+_sampledfs_Scan_5_Run_1.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_5_Run_1.pkl.gz,5,1,0.562,0.1,1,2000,0.0048728768,2000,0.0048728768,2000,0.0048728768,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.436438e-06,0.0
ALP_W+_sampledfs_Scan_5_Run_2.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_5_Run_2.pkl.gz,5,2,0.562,0.0316,1,2000,0.0004861082199999,2000,0.0004861082199999,2000,0.0004861082199999,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.430541e-07,0.0
ALP_W+_sampledfs_Scan_5_Run_3.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_5_Run_3.pkl.gz,5,3,0.562,0.01,1,2000,4.8304904e-05,2000,4.8304904e-05,2000,4.8304904e-05,1,2.4152452e-08,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,success,0.0,2.415245e-08,0.0
ALP_W+_sampledfs_Scan_5_Run_4.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_5_Run_4.pkl.gz,5,4,0.562,0.00316,1,2000,4.845625e-06,2000,4.845625e-06,1895,4.591229687499999e-06,38,9.206687500000001e-08,4,9.69125e-09,3,7.2684375e-09,3,7.2684375e-09,3,7.2684375e-09,3,7.2684375e-09,3,7.2684375e-09,3,7.2684375e-09,3,success,0.0015,2.422813e-09,5.45132925e-06
ALP_W+_sampledfs_Scan_5_Run_5.pkl.gz,/raid/anubis/sensitivityStudyData/ALPs/fermionCoupled/ALP_W+_Runs_2/Generated_Events_1/ALP_W+_sampledfs_Scan_5_Run_5.pkl.gz,5,5,0.562,0.001,1,2000,4.845453600000002e-07,2000,4.845453600000002e-07,1228,2.975108510400001e-07,126,3.0526357680000005e-08,31,7.51045308e-09,22,5.329998960000001e-09,16,3.87636288e-09,14,3.391817520000001e-09,14,3.391817520000001e-09,14,3.391817520000001e-09,14,3.391817520000001e-09,14,success,0.007,2.422727e-10,2.5438633500000006e-06
