mass,CaPhi,acceptance,cross_section_pb,Gamma_total_alp_GeV,N_signal
0.316,0.000794,0.00214818207688314,5.617244e-16,2.5309968380001873e-16,1.4480235458735226e-12
0.316,0.001,0.0029212502200309056,8.968564e-16,4.0146768871069995e-16,3.143930347003351e-12
0.316,0.00126,0.003651641009166423,1.396224e-15,6.373701025971071e-16,6.1182105796588565e-12
0.316,0.00158,0.004101411486359772,2.232585e-15,1.002223938097391e-15,1.098809971592944e-11
0.316,0.002,0.005194586251578982,3.58686e-15,1.6058707548427998e-15,2.2358704370806304e-11
0.316,0.00251,0.005236728362617068,5.673687e-15,2.52928658564628e-15,3.56538691602141e-11
0.316,0.00316,0.004064849392376414,8.866861e-15,4.008895752389564e-15,4.3250945457763356e-11
0.316,0.00398,0.003115688583907358,1.416923e-14,6.359408776252971e-15,5.2976289784509186e-11
0.316,0.00501,0.0018985030300070875,2.22294e-14,1.0076879133407437e-14,5.0643099906287466e-11
0.316,0.00631,0.001087075355175866,3.547429e-14,1.5984877640474097e-14,4.6275871681634004e-11
0.316,0.00794,0.0005416408194596713,5.74076e-14,2.5309968380001878e-14,3.7313159408655624e-11
0.316,0.01,0.000191433559460137,8.851169e-14,4.014676887106999e-14,2.033292944463866e-11
0.316,0.0126,8.252873314628562e-05,1.420046e-13,6.373701025971073e-14,1.4063351686734036e-11
0.316,0.0158,3.325354801623202e-05,2.222655e-13,1.0022239380973914e-13,8.869339771922182e-12
0.316,0.02,0.0,3.553367e-13,1.6058707548427997e-13,0.0
0.316,0.0251,8.665197769421881e-06,5.604803e-13,2.529286585646281e-13,5.828007174437888e-12
0.316,0.0316,0.0,8.831263e-13,4.0088957523895657e-13,0.0
0.316,0.0398,0.0,1.41972e-12,6.359408776252972e-13,0.0
0.316,0.0501,0.0,2.243669e-12,1.007687913340744e-12,0.0
0.316,0.0631,0.0,3.539069e-12,1.5984877640474097e-12,0.0
0.316,0.0794,0.0,5.609715e-12,2.5309968380001876e-12,0.0
0.316,0.1,0.0,9.03026e-12,4.014676887106999e-12,0.0
0.316,0.126,0.0,1.403962e-11,6.373701025971072e-12,0.0
0.316,0.158,0.0,2.21835e-11,1.0022239380973914e-11,0.0
0.316,0.2,0.0,3.540373e-11,1.6058707548427998e-11,0.0
0.316,0.251,0.0,5.632445e-11,2.5292865856462803e-11,0.0
0.316,0.316,0.0,8.944137e-11,4.0088957523895655e-11,0.0
0.316,0.398,0.0,1.415116e-10,6.359408776252971e-11,0.0
0.316,0.501,0.0,2.245922e-10,1.0076879133407438e-10,0.0
0.316,0.631,0.0,3.53395e-10,1.5984877640474096e-10,0.0
0.316,0.794,0.0,5.56731e-10,2.530996838000188e-10,0.0
0.316,1.0,0.0,8.797303e-10,4.014676887106999e-10,0.0
0.562,3.16e-08,0.0,6.989676e-25,8.708017242401745e-25,0.0
0.562,3.98e-08,0.0,1.110467e-24,1.381373941741514e-24,0.0
0.562,5.01e-08,0.0,1.7626e-24,2.188873012998799e-24,0.0
0.562,6.31e-08,0.0,2.795992e-24,3.472192810899618e-24,0.0
0.562,7.94e-08,0.0,4.382737e-24,5.497764338878773e-24,0.0
0.562,1e-07,0.0,7.068196e-24,8.720574870214853e-24,0.0
0.562,1.26e-07,0.0,1.106336e-23,1.3844784663953101e-23,0.0
0.562,1.58e-07,0.0,1.7538e-23,2.177004310600437e-23,0.0
0.562,2e-07,0.0,2.827173e-23,3.488229948085941e-23,0.0
