mass,CaPhi,acceptance,cross_section_pb,BR_h_to_Za,C_Zh_eff,Gamma_total_alp_GeV,N_signal
0.178,0.000316,0.0,0.012007890676295459,0.00021988446578090934,0.015,6.778213642225726e-20,0.0
0.178,0.000398,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.0752445058715791e-19,0.0
0.178,0.000501,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.70379186269458e-19,0.0
0.178,0.000631,0.0,0.012007890676295459,0.00021988446578090934,0.015,2.702712227609996e-19,0.0
0.178,0.000794,0.0,0.012007890676295459,0.00021988446578090934,0.015,4.2793922205478054e-19,0.0
0.178,0.001,0.0,0.012007890676295459,0.00021988446578090934,0.015,6.787988345443164e-19,0.0
0.178,0.00126,0.0,0.012007890676295459,0.00021988446578090934,0.015,1.0776610297225568e-18,0.0
0.178,0.00158,1.8162784802077906e-07,0.012007890676295459,0.00021988446578090934,0.015,1.6945534105564313e-18,0.0026171608113651863
0.178,0.002,6.781739161548611e-06,0.012007890676295459,0.00021988446578090934,0.015,2.7151953381772658e-18,0.09772125893643284
0.178,0.00251,3.3333333333333335e-05,0.012007890676295459,0.00021988446578090934,0.015,4.276500537512648e-18,0.48031562705181846
0.178,0.00316,2.034521748464583e-05,0.012007890676295459,0.00021988446578090934,0.015,6.778213642225725e-18,0.29316377680929845
0.178,0.00398,4.5406962005194756e-07,0.012007890676295459,0.00021988446578090934,0.015,1.0752445058715792e-17,0.0065429020284129644
0.178,0.00501,6.055110390353818e-05,0.012007890676295459,0.00021988446578090934,0.015,1.7037918626945794e-17,0.8725092432032325
0.178,0.00631,0.00010121105994248243,0.012007890676295459,0.00021988446578090934,0.015,2.7027122276099953e-17,1.458397611625579
0.178,0.00794,0.0002735087408218783,0.012007890676295459,0.00021988446578090934,0.015,4.279392220547806e-17,3.941115670560413
0.178,0.01,0.00031577349142969396,0.012007890676295459,0.00021988446578090934,0.015,6.787988345443164e-17,4.550128276271864
0.178,0.0126,0.0005472295884221248,0.012007890676295459,0.00021988446578090934,0.015,1.0776610297225568e-16,7.885287687128441
0.178,0.0158,0.000589130460466867,0.012007890676295459,0.00021988446578090934,0.015,1.6945534105564316e-16,8.489056996034092
0.178,0.02,0.001103723370884426,0.012007890676295459,0.00021988446578090934,0.015,2.715195338177266e-16,15.904067489342996
